label,question
0,안녕하세요
0,반가워요
0,반가반가
0,방가방가
0,하이
0,안녕
0,좋은 아침이야
0,진짜 반갑다
0,요즘 어떻게 지냈어요?
0,잘 지냈습니까?
0,잘지내지?
0,만나서 반가워요
0,만나서 반갑습니다
0,하이루
0,반갑
0,잘지냈어요?
0,잘지냈어?
0,나 먼저 잘게 안녕히 주무세요.
0,안녕히 주무세요.
0,안녕 안녕하세요.
0,안녕안녕 안녕하세요.
0,안녕하세요 안녕하세요.
0,안뇽 안녕하세요.
0,자야겠다. 안녕히 주무세요.
0,이제 그만 잘래 안녕히 주무세요.
0,속시원해~~안녕 잘가~~~ 이제 정말 안녕
0,연락 처음에 어떻게 시작함 안녕 이라고 0부터 해보세요.
0,연락 어떻게 시작함 안녕 이라고 0부터 해보세요.
0,이제 거리 어디를 나서나 봄기운을 확연히 느낄 수 있는 계절입니다.
0,밝고 생동감 넘치는 사람들의 표정에서도 어느덧 봄 기운을 느낄 수 있습니다.
0,창문 틈으로 새어들어오는 따스한 햇볕이 온 몸을 훈훈하게 해 주는 따스한 계절 봄입니다.
0,따스한 봄 기운이 겨우내 잔뜩 움츠렸던 어깨를 활짝 펴주는 계절의 여왕 봄입니다.
0,일상의 단조로움을 환하게 밝혀주는 희망의 봄이 찾아왔습니다.
0,거리마다 개나리 등 봄꽃들이 마중나와 환한 웃음을 짓게하는 사랑스런 계절 봄이 왔습니다.
0,버들강아지 곱게 물이 오른 새봄의 기운 느끼시나요?
0,얼어있던 들판을 녹이며 솟아오르는 아리랑이가 잠시 잊고 지냈던 그리움을 느끼게 해 줍니다.
0,골목골목마다 봄 내음 물씬 풍겨오는 향기 가득한 계절 봄입니다.
0,무엇이든 할 수 있을 것 같은 활기차고 희망찬 계절 봄이 왔습니다.
0,치하
0,좋은 일만 생길 것 같은 가슴 벅찬 설렘 바로 봄이 우리에게 주는 선물이 아닐까 합니다.
0,파릇파릇 새싹이 고개를 내밀며 0하는 반가운 봄입니다.
0,계절의 여왕 그야말로 생동하는 희망의 계절 봄이 왔습니다.
0,거리를 노랗게 물들인 개나리와 불그스레 어린 신부의 부끄러움을 닮은 진달래꽃들의 향연이 즐거운 봄입니다.
0,맑은 하늘 아래 파릇파릇 봄기운이 흐르고 들녘마다 아지랑이가 피어나는 생동의 계절 봄입니다.
0,새로운 시작과 도전 꿈과 희망 열정이 떠오르는 계절 봄입니다.
0,겨우내 움츠렸던 꽃망울들이 서로 경쟁하듯 톡톡 터지며 저마다의 향기를 뽐내는 봄입니다.
0,어머니께서 가족들을 위해 쑥국과 냉이국을 끓여내던 따뜻한 추억이 문득 떠오르는 계절입니다.
0,겨우내 앙상했던 산들도 어느덧 피어오른 봄꽃들의 향연으로 눈이 즐거운 계절 봄입니다.
